LA.Code,LA.Name,decile_imd,quintile_imd,decile_income,quintile_income,RGN19NM,pop19,Patient.Count_before,Patient.Count_after,Patient.Count.QCOVID_before,Patient.Count.QCOVID_after,Shielders_pct_before,Shielders_pct_after,Shielders_from_QCOVID_pct_before,Shielders_from_QCOVID_pct_after,Patient.Count_diff,Shielders_pct_diff
E08000012,Liverpool,1,1,1,1,North West,498042,44580,51455,,6910,8.9510523208886,10.3314579894868,,13.429209989311,6875,1.38040566859823
E08000014,Sefton,2,1,2,1,North West,276410,22050,27150,,5155,7.97728012734706,9.82236532686951,,18.9871086556169,5100,1.84508519952245
E09000018,Hounslow,4,2,4,2,London,271523,20760,29535,,8875,7.6457611325744,10.8775315534964,,30.0490942949044,8775,3.23177042092199
E07000027,Barrow-in-Furness,1,1,2,1,North West,67049,4985,6420,,1260,7.43486107175349,9.57508687676177,,19.6261682242991,1435,2.14022580500828
E08000013,St. Helens,1,1,2,1,North West,180585,12530,15555,,3055,6.93856078854833,8.61367223191295,,19.6399871423979,3025,1.67511144336462
E08000011,Knowsley,1,1,1,1,North West,150862,9355,13050,,3650,6.20103140618579,8.65028966870385,,27.9693486590038,3695,2.44925826251806
E09000009,Ealing,4,2,3,2,London,341806,20265,35615,,15275,5.92880171793357,10.4196532536,,42.8892320651411,15350,4.49085153566643
E07000171,Bassetlaw,4,2,5,3,East Midlands,117459,6955,9730,,2705,5.92121506227705,8.28374156088507,,27.8006166495375,2775,2.36252649860802
E07000244,East Suffolk,5,3,5,3,East of England,249461,14225,20240,,5865,5.70229414617916,8.11349269024016,,28.9772727272727,6015,2.411198544061
E06000034,Thurrock,5,3,4,2,East of England,174341,9810,12895,,3030,5.62690359697375,7.3964242490292,,23.4974796432726,3085,1.76952065205546
E08000001,Bolton,2,1,1,1,North West,287550,16095,24745,,8530,5.59728742827334,8.60545992001391,,34.4716104263488,8650,3.00817249174057
E07000075,Rochford,9,5,9,5,East of England,87368,4790,6165,,1370,5.48255654244117,7.0563593077557,,22.2222222222222,1375,1.57380276531453
E07000114,Thanet,1,1,1,1,South East,141922,7510,10785,,3270,5.29163906934795,7.599244655515,,30.3198887343533,3275,2.30760558616705
E06000042,Milton Keynes,6,3,5,3,South East,269457,14200,19625,,5425,5.26985752828837,7.28316577413094,,27.6433121019108,5425,2.01330824584256
E09000005,Brent,3,2,3,2,London,329771,17325,33460,,16240,5.25364571172116,10.146434950314,,48.5355648535565,16135,4.89278923859284
E07000076,Tendring,2,1,2,1,East of England,146561,7695,11580,,3775,5.25037356459085,7.90114696269813,,32.5993091537133,3885,2.65077339810727
E07000112,Folkestone and Hythe,3,2,3,2,South East,112996,5890,8495,,2570,5.21257389642111,7.51796523770753,,30.2530900529723,2605,2.30539134128642
E06000057,Northumberland,4,2,4,2,North East,322434,16785,22120,,5165,5.20571651872941,6.86031870088142,,23.3499095840868,5335,1.65460218215201
E07000224,Arun,5,3,6,3,South East,160758,8330,12710,,4310,5.18170168825191,7.90629393249481,,33.9103068450039,4380,2.7245922442429
E07000163,Craven,8,4,9,5,Yorkshire and The Humber,57142,2925,4120,,1225,5.11882678240174,7.21010815162227,,29.7330097087379,1195,2.09128136922054
E08000002,Bury,3,2,3,2,North West,190990,9725,13860,,4110,5.0918896277292,7.25692444630609,,29.6536796536797,4135,2.16503481857689
E06000002,Middlesbrough,1,1,1,1,North East,140980,7175,11645,,4445,5.08937437934459,8.26003688466449,,38.1708887934736,4470,3.1706625053199
E07000147,North Norfolk,4,2,6,3,East of England,104837,5310,7930,,2505,5.06500567547717,7.56412335339623,,31.5889029003783,2620,2.49911767791906
E08000016,Barnsley,2,1,2,1,Yorkshire and The Humber,246866,12490,17355,,4800,5.05942495118809,7.03012970599435,,27.6577355229041,4865,1.97070475480625
E07000108,Dover,4,2,4,2,South East,118131,5955,8550,,2545,5.04101378977576,7.2377276074866,,29.766081871345,2595,2.19671381771085
E08000017,Doncaster,2,1,2,1,Yorkshire and The Humber,311890,15685,23085,,7195,5.02901664048222,7.40164801692905,,31.1674247346762,7400,2.37263137644682
E07000073,Harlow,4,2,4,2,East of England,87067,4370,6970,,2695,5.01912320396936,8.00532922921428,,38.6657101865136,2600,2.98620602524493
E06000005,Darlington,3,2,3,2,North East,106803,5340,8000,,2485,4.9998595545069,7.49042629888674,,31.0625,2660,2.49056674437984
E07000156,Wellingborough,4,2,4,2,East Midlands,79707,3985,6070,,2020,4.99956089176609,7.61539137089591,,33.2784184514003,2085,2.61583047912981
E06000001,Hartlepool,1,1,1,1,North East,93663,4675,7265,,2535,4.99129859175982,7.7565313944674,,34.8933241569167,2590,2.76523280270758
E06000047,County Durham,2,1,2,1,North East,530094,26330,38615,,12090,4.96704358094979,7.28455707855588,,31.3090767836333,12285,2.31751349760608
E07000128,Wyre,5,3,4,2,North West,112091,5560,8005,,2350,4.96025550668653,7.14151894442908,,29.3566520924422,2445,2.18126343774255
E06000009,Blackpool,1,1,1,1,North West,139446,6905,11440,,4520,4.95173759017828,8.20389254621861,,39.5104895104895,4535,3.25215495604033
E06000006,Halton,1,1,1,1,North West,129410,6395,9440,,2950,4.94165829534039,7.29464492697628,,31.25,3045,2.35298663163588
E07000144,Broadland,9,5,9,5,East of England,130783,6350,8730,,2285,4.8553711109242,6.67517949580603,,26.1741122565865,2380,1.81980838488183
E07000197,Stafford,8,4,8,4,West Midlands,137280,6665,8990,,2780,4.85504079254079,6.54865967365967,,30.9232480533927,2325,1.69361888111888
E08000023,South Tyneside,1,1,1,1,North East,150976,7315,11745,,4415,4.8451409495549,7.77938215345485,,37.5904640272456,4430,2.93424120389996
E08000015,Wirral,2,1,2,1,North West,324011,15695,23695,,7900,4.84397134665181,7.31302332328224,,33.3403671660688,8000,2.46905197663042
E09000017,Hillingdon,5,3,5,3,London,306870,14845,24565,,9645,4.83755336135823,8.00501841170528,,39.263179320171,9720,3.16746505034705
E07000045,Teignbridge,7,4,6,3,South West,134163,6460,9370,,2795,4.81503842341033,6.98404179990012,,29.82924226254,2910,2.16900337648979
E07000137,East Lindsey,2,1,2,1,East Midlands,141727,6820,11780,,4810,4.81206827210059,8.31175428817374,,40.8319185059423,4960,3.49968601607315
E08000037,Gateshead,2,1,2,1,North East,202055,9720,14465,,4745,4.81057137907995,7.1589418722625,,32.8033183546492,4745,2.34837049318255
E07000146,King's Lynn and West Norfolk,3,2,5,3,East of England,151383,7240,11220,,3835,4.78257135873909,7.41166445373655,,34.1800356506239,3980,2.62909309499746
E07000141,South Kesteven,8,4,7,4,East Midlands,142424,6805,9505,,2610,4.77798685614784,6.67373476380385,,27.4592319831668,2700,1.89574790765601
E07000010,Fenland,3,2,3,2,East of England,101850,4860,7790,,2840,4.77172312223859,7.64850270004909,,36.4569961489089,2930,2.87677957781051
E07000074,Maldon,7,4,7,4,East of England,64926,3095,4275,,1120,4.76696546837939,6.58441918491822,,26.1988304093567,1180,1.81745371653883
E08000032,Bradford,1,1,1,1,Yorkshire and The Humber,539776,25700,45135,,19605,4.76123428977946,8.36180193265355,,43.436357593885,19435,3.60056764287408
E07000090,Havant,4,2,4,2,South East,126220,5980,9295,,3250,4.73775946759626,7.36412612898114,,34.965034965035,3315,2.62636666138488
E07000139,North Kesteven,9,5,8,4,East Midlands,116915,5515,7605,,2075,4.71710216824189,6.50472565539067,,27.284681130835,2090,1.78762348714878
E06000003,Redcar and Cleveland,2,1,1,1,North East,137150,6465,10270,,3705,4.71381698869851,7.48815165876777,,36.0759493670886,3805,2.77433467006927
E08000022,North Tyneside,4,2,3,2,North East,207913,9760,14600,,4760,4.69427116149543,7.02216792600751,,32.6027397260274,4840,2.32789676451208
E08000035,Leeds,2,1,3,2,Yorkshire and The Humber,793139,37195,55110,,17400,4.68959413167175,6.94834070698831,,31.5732172019597,17915,2.25874657531656
E07000203,Mid Suffolk,8,4,9,5,East of England,103895,4865,6715,,1775,4.68261225275519,6.46325617209683,,26.4333581533879,1850,1.78064391934164
E06000004,Stockton-on-Tees,3,2,2,1,North East,197348,9210,13830,,4550,4.66688286681395,7.00792508664897,,32.8994938539407,4620,2.34104221983501
E06000052+E06000053,Cornwall and Isles of Scilly,,,,,South West,571802,26680,37270,,13290,4.66595080115145,6.51799049321269,,35.6587067346391,10590,1.85203969206124
