LA.Code,LA.Name,Patient.Count,Patient.Count.QCOVID,Shielders_pct,Shielders_from_QCOVID_pct,decile_imd,quintile_imd,decile_income,quintile_income,RGN19NM,pop19,before_after
E08000012,Liverpool,44580,,8.9510523208886,,1,1,1,1,North West,498042,before
E08000014,Sefton,22050,,7.97728012734706,,2,1,2,1,North West,276410,before
E09000018,Hounslow,20760,,7.6457611325744,,4,2,4,2,London,271523,before
E07000027,Barrow-in-Furness,4985,,7.43486107175349,,1,1,2,1,North West,67049,before
E08000013,St. Helens,12530,,6.93856078854833,,1,1,2,1,North West,180585,before
E08000011,Knowsley,9355,,6.20103140618579,,1,1,1,1,North West,150862,before
E09000009,Ealing,20265,,5.92880171793357,,4,2,3,2,London,341806,before
E07000171,Bassetlaw,6955,,5.92121506227705,,4,2,5,3,East Midlands,117459,before
E07000244,East Suffolk,14225,,5.70229414617916,,5,3,5,3,East of England,249461,before
E06000034,Thurrock,9810,,5.62690359697375,,5,3,4,2,East of England,174341,before
E08000001,Bolton,16095,,5.59728742827334,,2,1,1,1,North West,287550,before
E07000075,Rochford,4790,,5.48255654244117,,9,5,9,5,East of England,87368,before
E07000114,Thanet,7510,,5.29163906934795,,1,1,1,1,South East,141922,before
E06000042,Milton Keynes,14200,,5.26985752828837,,6,3,5,3,South East,269457,before
E09000005,Brent,17325,,5.25364571172116,,3,2,3,2,London,329771,before
E07000076,Tendring,7695,,5.25037356459085,,2,1,2,1,East of England,146561,before
E07000112,Folkestone and Hythe,5890,,5.21257389642111,,3,2,3,2,South East,112996,before
E06000057,Northumberland,16785,,5.20571651872941,,4,2,4,2,North East,322434,before
E07000224,Arun,8330,,5.18170168825191,,5,3,6,3,South East,160758,before
E07000163,Craven,2925,,5.11882678240174,,8,4,9,5,Yorkshire and The Humber,57142,before
E08000002,Bury,9725,,5.0918896277292,,3,2,3,2,North West,190990,before
E06000002,Middlesbrough,7175,,5.08937437934459,,1,1,1,1,North East,140980,before
E07000147,North Norfolk,5310,,5.06500567547717,,4,2,6,3,East of England,104837,before
E08000016,Barnsley,12490,,5.05942495118809,,2,1,2,1,Yorkshire and The Humber,246866,before
E07000108,Dover,5955,,5.04101378977576,,4,2,4,2,South East,118131,before
E08000017,Doncaster,15685,,5.02901664048222,,2,1,2,1,Yorkshire and The Humber,311890,before
E07000073,Harlow,4370,,5.01912320396936,,4,2,4,2,East of England,87067,before
E06000005,Darlington,5340,,4.9998595545069,,3,2,3,2,North East,106803,before
E07000156,Wellingborough,3985,,4.99956089176609,,4,2,4,2,East Midlands,79707,before
E06000001,Hartlepool,4675,,4.99129859175982,,1,1,1,1,North East,93663,before
E06000047,County Durham,26330,,4.96704358094979,,2,1,2,1,North East,530094,before
E07000128,Wyre,5560,,4.96025550668653,,5,3,4,2,North West,112091,before
E06000009,Blackpool,6905,,4.95173759017828,,1,1,1,1,North West,139446,before
E06000006,Halton,6395,,4.94165829534039,,1,1,1,1,North West,129410,before
E07000144,Broadland,6350,,4.8553711109242,,9,5,9,5,East of England,130783,before
E07000197,Stafford,6665,,4.85504079254079,,8,4,8,4,West Midlands,137280,before
