Extract.Date,CCG.Code,CCG.Name,Breakdown.Field,Breakdown.Value,Patient.Count,CCG20CD,pop19
20/03/2021,ENG,ENGLAND,ALL,ALL,3803374,,56286961
20/03/2021,ENG,ENGLAND,Age,0-17,53569,,56286961
20/03/2021,ENG,ENGLAND,Age,18-29,166886,,56286961
20/03/2021,ENG,ENGLAND,Age,30-39,330935,,56286961
20/03/2021,ENG,ENGLAND,Age,40-49,432705,,56286961
20/03/2021,ENG,ENGLAND,Age,50-59,579502,,56286961
20/03/2021,ENG,ENGLAND,Age,60-69,584978,,56286961
20/03/2021,ENG,ENGLAND,Age,70-79,701523,,56286961
20/03/2021,ENG,ENGLAND,Age,80-89,685474,,56286961
20/03/2021,ENG,ENGLAND,Age,90+,267801,,56286961
20/03/2021,ENG,ENGLAND,Gender,Female,1986303,,56286961
20/03/2021,ENG,ENGLAND,Gender,Male,1816938,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Transplants (Solid),55955,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Cancer (Solid with Chemotherapy),130593,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Cancer (Lung with Radical Radiotherapy),3042,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Cancer (Haematological within 24 months),200567,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Transplants (Haematological within 6 months),2359,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Transplants (Haematological with Immunosuppression),826,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Respiratory (Severe Asthma),188077,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Respiratory (Severe COPD),546601,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Respiratory (Severe Permanent),133418,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Corticosteroid Safety Card,1631,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Rare genetic metabolic and autoimmune diseases,356339,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Immunosuppression Therapy,118193,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Pregnant with Congenital Heart Defect,4989,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Learning Disabilities,24808,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Chronic Kidney Disease,62406,,56286961
20/03/2021,ENG,ENGLAND,Disease Group,Added by COVID-19 Population Risk Assessment,1508223,,56286961
20/03/2021,00L,NHS Northumberland CCG,ALL,ALL,22120,E38000130,322434
20/03/2021,00N,NHS South Tyneside CCG,ALL,ALL,11745,E38000163,150976
20/03/2021,00P,NHS Sunderland CCG,ALL,ALL,20590,E38000176,277705
20/03/2021,00Q,NHS Blackburn with Darwen CCG,ALL,ALL,10905,E38000014,149696
20/03/2021,00R,NHS Blackpool CCG,ALL,ALL,11440,E38000015,139446
20/03/2021,00T,NHS Bolton CCG,ALL,ALL,24745,E38000016,287550
20/03/2021,00V,NHS Bury CCG,ALL,ALL,13860,E38000024,190990
20/03/2021,00X,NHS Chorley and South Ribble CCG,ALL,ALL,9610,E38000034,178547
20/03/2021,00Y,NHS Oldham CCG,ALL,ALL,17570,E38000135,237110
20/03/2021,01A,NHS East Lancashire CCG,ALL,ALL,24295,E38000050,382746
20/03/2021,01D,"NHS Heywood, Middleton and Rochdale CCG",ALL,ALL,15595,E38000080,222412
20/03/2021,01E,NHS Greater Preston CCG,ALL,ALL,11655,E38000227,203825
20/03/2021,01F,NHS Halton CCG,ALL,ALL,9440,E38000068,129410
20/03/2021,01G,NHS Salford CCG,ALL,ALL,18340,E38000143,258834
20/03/2021,01H,NHS North Cumbria CCG,ALL,ALL,21090,E38000215,319371
20/03/2021,01J,NHS Knowsley CCG,ALL,ALL,13050,E38000091,150862
20/03/2021,01K,NHS Morecambe Bay CCG,ALL,ALL,23295,E38000228,332696
20/03/2021,01T,NHS South Sefton CCG,ALL,ALL,16285,E38000161,160226
20/03/2021,01V,NHS Southport and Formby CCG,ALL,ALL,10865,E38000170,116184
20/03/2021,01W,NHS Stockport CCG,ALL,ALL,18445,E38000174,293423
20/03/2021,01X,NHS St Helens CCG,ALL,ALL,15555,E38000172,180585
