Extract.Date,CCG.Code,CCG.Name,Breakdown.Field,Breakdown.Value,Patient.Count,CCG20CD,pop19,Shielders_pct,Patient.Count.QCOVID,Patient.Count.nonQCOVID,Shielders_from_QCOVID_pct,IMD19_decile,IMD19_quintile
06/03/2021,07Y,NHS Hounslow CCG,ALL,ALL,29455,E38000084,271523,10.8480681194595,8900,20555,30.2155830928535,4,2
06/03/2021,07W,NHS Ealing CCG,ALL,ALL,35485,E38000048,341806,10.3816199832654,15325,20160,43.1872622234747,4,2
06/03/2021,99A,NHS Liverpool CCG,ALL,ALL,51500,E38000101,498042,10.3404933720449,6970,44530,13.5339805825243,1,1
06/03/2021,01T,NHS South Sefton CCG,ALL,ALL,16290,E38000161,160226,10.1668892689077,2925,13365,17.9558011049724,3,2
06/03/2021,07P,NHS Brent CCG,ALL,ALL,33435,E38000020,329771,10.138853931971,16300,17135,48.7513085090474,3,2
06/03/2021,08M,NHS Newham CCG,ALL,ALL,33905,E38000113,353134,9.60117122678643,21870,12035,64.5037605072998,1,1
06/03/2021,01V,NHS Southport and Formby CCG,ALL,ALL,10895,E38000170,116184,9.37736693520622,2275,8620,20.88113813676,6,4
06/03/2021,06P,NHS Luton CCG,ALL,ALL,19230,E38000102,213052,9.02596549199257,9300,9930,48.3619344773791,3,2
06/03/2021,01J,NHS Knowsley CCG,ALL,ALL,13060,E38000091,150862,8.65691824316263,3675,9385,28.1393568147014,1,1
06/03/2021,08E,NHS Harrow CCG,ALL,ALL,21720,E38000074,251160,8.64787386526517,10470,11250,48.2044198895028,8,4
06/03/2021,01X,NHS St Helens CCG,ALL,ALL,15605,E38000172,180585,8.64136002436526,3095,12510,19.8333867350208,2,1
06/03/2021,00T,NHS Bolton CCG,ALL,ALL,24730,E38000016,287550,8.60024343592419,8610,16120,34.8160129397493,3,2
06/03/2021,04C,NHS Leicester City CCG,ALL,ALL,29550,E38000097,354224,8.34217896020597,15865,13685,53.6886632825719,2,1
06/03/2021,07L,NHS Barking and Dagenham CCG,ALL,ALL,17625,E38000004,212906,8.27830122213559,9545,8080,54.1560283687943,1,1
06/03/2021,02Q,NHS Bassetlaw CCG,ALL,ALL,9685,E38000008,117459,8.24543032036711,2715,6970,28.0330407847186,5,3
06/03/2021,00R,NHS Blackpool CCG,ALL,ALL,11455,E38000015,139446,8.21464939833341,4565,6890,39.8515931907464,1,1
06/03/2021,36J,NHS Bradford District and Craven CCG,ALL,ALL,48430,E38000232,590901,8.19595837543006,20835,27595,43.0208548420401,2,1
06/03/2021,05L,NHS Sandwell and West Birmingham CCG,ALL,ALL,41280,E38000144,506073,8.15692597708236,23965,17315,58.0547480620155,1,1
06/03/2021,08V,NHS Tower Hamlets CCG,ALL,ALL,25980,E38000186,324745,8.00012317356695,17835,8145,68.64896073903,2,1
06/03/2021,08G,NHS Hillingdon CCG,ALL,ALL,24510,E38000082,306870,7.98709551275785,9690,14820,39.5348837209302,6,3
06/03/2021,08C,NHS Hammersmith and Fulham CCG,ALL,ALL,14575,E38000070,185143,7.87229330841566,6175,8400,42.3670668953688,4,2
06/03/2021,00N,NHS South Tyneside CCG,ALL,ALL,11735,E38000163,150976,7.77275858414582,4445,7290,37.8781423093311,2,1
06/03/2021,06A,NHS Wolverhampton CCG,ALL,ALL,20150,E38000210,263357,7.65121109368652,11145,9005,55.3101736972705,1,1
06/03/2021,05W,NHS Stoke on Trent CCG,ALL,ALL,20075,E38000175,264651,7.58546160792893,8170,11905,40.6973848069738,1,1
06/03/2021,03J,NHS North Kirklees CCG,ALL,ALL,14555,E38000121,193183,7.53430684894634,5860,8695,40.2610786671247,2,2
06/03/2021,16C,NHS Tees Valley CCG,ALL,ALL,50830,E38000247,675944,7.51985371569243,17820,33010,35.0580365925635,3,2
06/03/2021,08N,NHS Redbridge CCG,ALL,ALL,22660,E38000138,305222,7.42410442235488,13275,9385,58.5834068843778,7,4
06/03/2021,00Y,NHS Oldham CCG,ALL,ALL,17600,E38000135,237110,7.42271519547889,7505,10095,42.6420454545455,2,1
06/03/2021,00P,NHS Sunderland CCG,ALL,ALL,20545,E38000176,277705,7.39813831223781,7960,12585,38.7442200048674,2,1
06/03/2021,07G,NHS Thurrock CCG,ALL,ALL,12885,E38000185,174341,7.39068836360925,3045,9840,23.6321303841676,5,3
06/03/2021,02X,NHS Doncaster CCG,ALL,ALL,23000,E38000044,311890,7.37439481868608,7235,15765,31.4565217391304,2,1
06/03/2021,00Q,NHS Blackburn with Darwen CCG,ALL,ALL,10955,E38000014,149696,7.31816481402309,5215,5740,47.6038338658147,1,1
